x_meters,y_meters,u_pixel,v_pixel
0,4,946,1480
1.207,4.238,1675,1421
2.807,4.238,2395,1421
2.807,4.35,2214,1168
1.442,8.429,1510,753
3.042,8.429,1913,757
3.042,9.549,1855,672
1.2,6.027,1483,1038
2.8,6.027,2024,1044
2.8,7.147,1936,895
1.202,6.787,1473,928
2.802,6.787,1959,932
2.802,7.907,1884,808
1.202,4,1689,1484
2.802,4,2438,1484
2.802,5.12,2245,1211
1.201,20,1386,291
2.801,20,1568,292
2.801,21.12,1557,273
1.083,5,1457,1231
0.906,11,1362,573
0.889,8,1367,790
0.884,15,1352,407
0.709,19,1325,309
0.57,4,1233,1481
0.635,18,1317,330
0.362,14,1266,440
0.529,7,1257,901
0.488,17,1294,353
0.451,12,1272,522
0.347,16,1271,378
0.195,10,1203,631
0.149,13,1223,478
0,9,1141,702
0,8,1118,788
2.584,5.549,1716,1122
4.184,5.549,2294,1124
4.184,6.669,2160,956
